#TITLE:Forever Young
#ARTIST:Alphaville
#LANGUAGE:English
#MP3:Alphaville - Forever Young.mp3
#COVER:Alphaville - Forever Young [CO].jpg
#BACKGROUND:Alphaville - Forever Young [BG].jpg
#BPM:63
#GAP:14000
: 4 1 67 Let's
: 5 1 67  dance
: 6 1 67  in
: 7 2 67  style,
: 10 1 65  let's
: 11 1 64  dance
: 12 1 64  for
: 13 1 62  a
: 14 4 64  while.
- 18
: 19 1 64  Hea
: 20 1 64 ven
: 21 1 67  can
: 22 1 65  wait
: 23 1 65  we're
: 24 1 64  on
: 25 1 64 ly
: 26 1 60  wa
: 27 1 60 tching
: 28 1 62  the
: 29 3 62  skies
- 32
: 33 1 62  Ho
: 34 1 62 ping
: 35 1 62  for
: 36 1 60  the
: 37 2 64  best
: 39 1 62  but
: 40 1 60  ex
: 41 1 60 pec
: 42 1 60 ting
: 43 1 57  the
: 44 2 60  worst
- 46
: 46 1 60  Are
: 47 1 57  you
: 48 1 60  gon
: 49 1 57 na
: 50 1 60  drop
: 51 1 57  the
: 52 1 62  bomb,
: 53 1 57  or
: 54 2 57  not?
- 56
: 63 1 67  Let
: 64 1 67  us
: 65 1 67  die
: 66 2 67  young,
: 68 1 67  or
: 69 1 65  let
: 70 1 65  us
: 71 1 64  live
: 72 1 62  for
: 73 3 64 ever.
- 76
: 77 1 60  We
: 78 1 60  don't
: 79 1 64  have
: 80 1 64  the
: 81 1 67  po
: 82 1 65 wer
: 83 1 65  but
: 84 1 64  we
: 85 1 64  ne
: 86 1 60 ver
: 87 1 60  say
: 88 2 62  ne
: 90 2 62 ver
- 92
: 92 1 62  Sit
: 93 1 62 ting
: 94 1 62  in
: 95 1 60  a
: 96 2 64  sand
: 98 1 62 bit
: 100 1 60  live
: 101 2 60  is
: 103 1 57  a
: 104 1 62  short
: 105 1 57  trip.
- 106
: 106 1 57  The
: 107 1 60  mu
: 108 1 57 sic's
: 109 1 60  for
: 110 1 57  the
: 111 2 62  sad
: 113 2 57  men.
- 115
: 122 1 67  Can
: 123 1 67  you
: 124 1 67  im
: 125 1 69 a
: 126 1 67 gine,
: 127 1 67  when
: 128 1 67  this
: 129 1 69  race
: 130 1 67  is
: 131 2 64  won.
- 133
: 136 1 64  Turn
: 137 1 64  our
: 138 1 64  gol
: 139 1 64 den
: 140 2 69  fa
: 142 1 67 ces
: 143 1 64  in
: 144 1 64 to
: 145 1 60  the
: 146 2 62  sun.
- 148
: 151 1 62  Prai
: 152 1 62 sing
: 153 1 62  our
: 154 2 64  lea
: 156 2 62 ders
: 158 1 57  we're
: 159 1 60  get
: 160 1 60 ting
: 161 1 57  in
: 162 1 60  tune.
- 163
: 163 1 57  The
: 164 1 60  mu
: 165 1 57 sic's
: 166 2 60  played
