#ARTIST:Justin Bieber
#TITLE:Love Yourself
#MP3:Justin Bieber - Love Yourself.mp3
#AUTHOR:amro98
#GENRE:Pop
#YEAR:2015
#LANGUAGE:English
#BPM:200.04
#GAP:10406
#VIDEO:Justin Bieber - Love Yourself.mkv
: 0 1 4 For
: 2 1 4  all
: 4 1 6  the
: 7 2 6  times
: 10 3 8 ~
: 14 2 8  that
: 18 4 6  you
: 23 5 6  rain
: 29 1 6  on
: 31 1 6  my
: 33 3 8 ~
: 37 2 4  pa
: 40 6 4 rade
- 56
: 63 1 4 And
: 65 1 6  all
: 67 2 8  the
: 72 1 8  clubs
: 74 2 9 ~
: 78 2 9  you
* 81 1 6  get
* 83 1 8 ~
: 85 1 6  in
: 87 2 4 ~
: 90 3 4  u
: 94 2 6 sing
: 97 1 6  my
: 99 1 8 ~
: 101 6 6  name
- 117
: 127 1 4 You
: 129 1 4  think
: 131 2 6  you
: 135 1 6  broke
: 137 1 8 ~
: 141 2 11  my
: 145 4 6  heart
- 149
: 150 2 4 Oh
: 153 3 6  girl
: 158 1 6  for
: 160 1 8 ~
: 162 1 6  good
: 165 6 4 ness
: 174 2 4  sake
- 187
: 191 1 4 You
: 193 2 6  think
: 196 1 8  I'm
: 200 1 8  cry
: 202 2 9 ~
: 205 3 9 ing
- 208
: 209 1 6 Oh
: 211 1 8 ~
: 213 1 8  my
: 215 2 4 ~
: 218 2 4  oh
: 221 3 6  well
: 225 1 6  I
: 227 1 8 ~
: 230 6 6  ain't!
- 246
: 253 1 -1 And
: 255 1 -1  I
: 257 1 -1  did
: 259 1 1 n't
: 261 1 4  wan
: 263 2 6 na
* 266 1 6  write
* 268 1 8 ~
: 270 1 11  a
: 272 1 6  song
: 274 4 8 ~
- 283
: 285 1 8 'Cause
: 287 1 11  I
: 289 2 11  did
: 292 1 9 n't
: 294 2 9  want
: 297 1 9  a
: 299 1 8 ny
: 301 3 8 one
- 304
: 306 2 4 Thin
: 309 4 4 king
: 314 1 4  I
: 317 2 6  still
: 322 1 6  care
: 324 1 8 ~
: 326 1 4  I
: 329 7 6  don't
- 336
: 338 1 6 But
: 340 1 8 ~
: 346 1 4  you
: 349 3 6  still
: 353 1 6  hit
: 355 1 8 ~
: 357 2 4  my
: 362 7 6  phone
: 370 1 6  up
: 372 1 8 ~
- 380
: 383 1 -1 And
: 385 2 -1  ba
: 388 1 1 by
: 390 1 4  I
: 392 1 6  be
: 394 3 8  mo
: 398 1 11 ving
* 400 1 6  on
* 402 4 8 ~
- 412
: 414 1 8 And
: 416 1 11  I
: 418 2 11  think
* 422 1 9  you
: 425 1 9  should
: 427 1 8 ~
: 430 1 8  be
: 433 2 4  some
: 437 3 4 thin'
- 440
: 441 4 4 I
: 446 1 6  don't
: 448 1 6  wan
: 450 2 8 ~
: 453 2 4 na
: 457 6 6  hold
: 465 1 6  back
: 467 1 8 ~
- 472
: 474 3 4 May
: 478 3 6 be
: 482 2 8  you
: 486 2 4  should
: 489 5 6  know
: 497 1 6  that
: 499 2 8 ~
- 507
: 509 1 4 My
: 511 3 4  ma
: 515 1 4 ma
: 517 1 6  don't
: 519 2 8 ~
: 522 2 8  like
: 525 2 6 ~
: 530 3 4  you
: 534 1 4  and
- 536
: 538 1 4 She
: 540 1 6 ~
: 542 1 6  like's
: 546 1 6  eve
: 548 3 4 ry
: 552 4 4 one
- 566
: 573 1 4 And
: 575 2 4  I
: 579 1 4  ne
: 581 1 6 ver
: 583 1 8 ~
* 585 2 8  like
* 588 2 6 ~
: 594 3 4  to
- 597
: 598 1 4 Ad
: 601 1 4 mit
: 603 1 6 ~
: 606 1 6  that
: 608 1 6  I
: 610 1 4  was
: 613 2 6  wrong
: 616 4 8 ~
- 631
: 635 1 4 And
: 637 1 9  I've
: 639 1 11 ~
: 641 2 9  been
* 645 2 8  so
: 649 1 6  caught
: 651 2 4 ~
: 654 1 4  up
: 657 3 4  in
: 661 1 6  my
: 663 1 8 ~
: 665 4 8  job
- 671
: 673 3 4 Did
: 677 2 6 n't
: 681 1 6  see
: 683 1 8 ~
: 685 2 9  what's
: 689 1 8  go
: 691 2 6 ~
: 694 3 6 ing
: 698 3 6  on
- 701
: 702 1 4 But
: 704 4 4  now
: 709 1 9  I
: 711 1 11 ~
: 713 3 11  know
- 726
: 734 1 9 I'm
: 736 1 11 ~
* 738 3 11  bet
* 742 1 11 ter
* 745 1 11  slee
* 747 1 9 ~
* 749 4 9 ping
: 754 1 9  on
: 756 1 8 ~
: 758 1 8  my
: 760 1 6 ~
: 762 2 6  own
- 764
: 766 2 4 'Cause
: 769 2 4  if
: 773 1 6  you
: 775 1 8 ~
: 777 4 8  like
- 787
: 789 1 8 The
: 791 1 6 ~
: 793 4 6  way
- 803
: 805 2 4 You
: 808 1 6  look
: 810 1 8 ~
: 813 3 8  that
: 817 3 6 ~
: 821 2 6  much
- 827
: 829 2 4 Oh
: 833 3 4  ba
: 837 3 6 by
: 841 1 8  you
: 845 2 4  should
* 849 1 6  go
* 851 2 8 ~
* 854 2 4  and
* 857 2 6  love
* 861 4 4  your
* 869 4 4 self
- 883
: 894 2 4 And
: 897 2 4  if
: 901 1 6  you
: 903 1 8 ~
: 905 4 8  think
- 915
: 917 1 8 That
: 919 2 6 ~
: 922 4 6  I'm
- 931
: 933 2 4 Still
: 938 2 8  hol
: 941 4 8 din'
: 946 2 6 ~
: 949 6 6  on
: 956 1 4  to
: 961 2 4  some
: 964 3 6 thin'
- 967
: 968 1 6 You
: 970 1 8 ~
: 973 2 4  should
: 977 1 6  go
: 979 1 8 ~
: 981 3 4  and
: 985 2 6  love
: 989 5 4  your
: 997 1 4 self
: 999 2 1 ~
- 1011
: 1026 1 4 When
: 1028 1 6  you
: 1033 1 6  told
: 1035 2 8 ~
: 1038 1 8  me
: 1040 2 8  that
: 1045 3 6  you
: 1050 4 6  ha
: 1055 1 6 ted
: 1057 2 8 ~
: 1061 2 4  my
: 1065 6 4  friends
- 1083
: 1087 1 4 The
: 1089 1 6  on
: 1091 1 8 ly
: 1095 1 8  pro
: 1097 3 9 ~
: 1101 3 9 blem
* 1105 1 6  was
* 1107 1 8 ~
* 1109 1 6  with
* 1111 1 4 ~
: 1114 3 4  you
: 1118 2 6  and
: 1121 1 6  not
: 1123 1 8 ~
: 1126 6 6  them
- 1142
: 1151 1 4 And
: 1153 2 4  eve
: 1156 1 6 ry
: 1159 1 6  time
: 1161 3 8 ~
: 1165 1 8  you
: 1167 1 11 ~
: 1170 2 6  told
: 1173 3 4  me
: 1177 1 4  my
: 1179 1 6 ~
: 1181 1 6  o
: 1183 1 6 pi
: 1185 1 8 ~
: 1187 1 8 nion
: 1189 1 8  was
: 1191 1 4 ~
: 1194 4 4  wrong
- 1208
: 1216 1 4 And
: 1218 1 6  tried
: 1220 1 8  to
: 1224 1 8  make
: 1226 2 9 ~
: 1229 2 9  me
: 1234 2 8  for
: 1237 1 6 get
: 1239 2 4 ~
: 1242 3 4  where
: 1246 1 6  I
: 1250 1 6  came
: 1252 1 8 ~
: 1254 6 6  from
- 1270
: 1277 1 -1 And
: 1279 1 -1  I
: 1281 1 -1  didn't
: 1283 1 1 ~
: 1285 1 4  wan
: 1287 2 6 na
: 1290 1 6  write
: 1292 1 8 ~
: 1294 1 11  a
: 1296 1 6  song
: 1298 4 8 ~
- 1307
: 1309 1 8 Cause
: 1311 1 11  I
: 1313 2 11  didn't
: 1316 1 9 ~
: 1318 2 9  want
* 1321 1 9  a
* 1323 1 8 ny
* 1325 3 8 one
: 1330 2 4  thin
: 1333 4 4 king
- 1337
: 1338 1 4 I
: 1341 2 6  still
: 1346 1 6  care
: 1348 1 8 ~
: 1350 1 4  I
: 1353 7 6  don't
- 1360
: 1362 1 6 But
: 1364 1 8 ~
: 1370 1 4  you
: 1373 3 6  still
: 1377 1 6  hit
: 1379 1 8 ~
: 1381 2 4  my
: 1386 7 6  phone
: 1394 1 6  up
: 1396 1 8 ~
- 1404
: 1407 1 -1 And
: 1409 2 -1  ba
: 1412 1 1 by
: 1414 1 4  I
: 1416 1 6  be
: 1418 3 8  mo
: 1422 1 11 ving
: 1424 1 6  on
: 1426 4 8 ~
- 1436
: 1438 1 8 And
: 1440 1 11  I
: 1442 2 11  think
: 1446 1 9  you
: 1449 1 9  should
: 1451 1 8 ~
: 1454 1 8  be
: 1457 2 4  some
: 1461 3 4 thin'
- 1464
: 1465 4 4 I
* 1470 1 6  don't
* 1472 1 6  wan
* 1474 2 8 ~
* 1477 2 4 na
: 1481 6 6  hold
