#TITLE:History
#ARTIST:Michael Jackson
#LANGUAGE:English
#MP3:Michael Jackson - History.mp3
#COVER:Michael Jackson - History [CO].jpg
#BACKGROUND:Michael Jackson - History [BG].jpg
#BPM:125
#GAP:68000
: 2 2 66 He
: 5 3 66  got
: 10 2 63  kick
: 12 1 66 ed
: 13 2 66  in
: 15 2 63  the
: 18 3 66  back!
- 22
: 23 2 66 He
: 25 2 66  say
: 28 2 63  that
: 31 2 66  he
: 33 3 66  need
: 36 2 63 ed
: 39 3 63  that!
- 43
: 44 2 66 He
: 46 4 66  hot
: 52 3 63  willed
: 55 3 66  in
: 58 2 63  the
: 60 3 66  face!
- 64
: 65 3 66 Keep
: 68 3 66  dar
: 71 2 66 ing
: 73 2 66  to
: 76 3 63  mo
: 79 2 63 ti
: 81 3 63 vate!
- 85
: 87 2 66 He
: 89 3 66  say
: 92 3 63  one
: 95 2 66  day
: 97 3 66  you
: 100 2 63  will
: 103 3 66  see!
- 107
: 108 2 66 His
: 110 4 66  place
: 114 1 63  in
: 116 3 66  world
: 119 2 66  his
: 121 3 63 to
: 124 3 63 ry!
- 128
: 129 2 66 He
: 132 3 66  dares
: 135 2 63  to
: 138 2 66  be
: 140 3 66  re
: 143 3 63 cog
: 146 3 66 nized!
- 150
: 151 2 66 The
: 153 3 66  fi
: 156 3 66 res
: 159 2 63  deep
: 161 2 66  in
: 164 2 66  his
: 166 4 65  eyes!
: 170 4 63  How
: 174 3 63  ma
: 177 1 63 ny
: 178 3 65  vic
: 181 4 65 tims
- 187
: 190 6 66  must
: 196 4 63  there
: 200 4 63  be
- 206
: 210 6 59 Slaugh
: 216 2 59 ter
: 218 2 59 ed
: 220 1 59  in
: 221 5 61  vain
: 227 2 61  a
: 229 2 61 cross
: 231 2 56  the
: 233 12 58  land?
- 247
: 251 3 63 And
: 254 6 63  how
: 260 2 63  ma
: 262 2 65 ny
: 264 2 65  strug
: 266 4 66 gles
: 275 6 65  must
: 281 4 63  there
: 285 5 63  be
- 292
: 294 3 58 Be
: 297 2 56 fore
: 300 1 56  we
: 301 2 56  choo
: 303 2 58 se
: 305 2 56  to
: 307 3 54  live
: 310 2 51  the
: 312 2 54  pro
: 314 4 58 phet's
: 318 5 56  plan?
- 325
: 329 2 59 E
: 331 1 58 very
: 332 2 56 bo
: 334 2 54 dy
: 336 5 54  sing!
: 344 3 58  Eve
: 347 2 61 ry
: 349 3 59  day
: 352 3 58  cre
: 355 3 56 ate
: 358 2 54  your
: 360 4 56  his
